isin,securityid,newbsecode,oldbsecode,newnsecode,oldnsecode,newname,oldname,symbol,company_id,sector
INE278O01015,531813,GANGAPA,,,,Ganga Papers,,GANGAPA,a7417f95-1f0a-4955-8355-1504c38a1c6e,
INE278R01034,541161,DHARAN,,DHARAN,,KBC Global,,DHARAN,fad74aee-24b3-42c9-a845-370961a7e97a,
INE278Y01022,543523,CAMPUS,,CAMPUS,,Campus Activewear,,CAMPUS,650492da-1816-42a8-9464-4c934767e17e,
INE279A01012,504212,UNIVCABLES,,UNIVCABLES,,Universal Cables,,UNIVCABLES,c3fa022a-42ef-47fe-a6b5-67b16e33e74a,
INE279D01016,522027,EMAINDIA,,,,EMA India,,EMAINDIA,27ddab26-467e-44c8-8147-19b5605fa546,
INE280A01028,500114,TITAN,,TITAN,,Titan,,TITAN,47d63afd-e7fe-4d53-844e-9c74eef2abfb,
INE280B01018,500123,ELANTAS,,,,Elantas Beck,,ELANTAS,89afa204-67dc-4126-b600-2f0692d115d1,
INE280E01038,539519,SATTVASUKU,,,,Sattva Sukun Lifecare,,SATTVASUKU,bb73e4e0-9cd7-45ef-88e7-36ba58b8fec0,
INE280F01019,505212,JAINEX,,,,Jainex Aamcol,,JAINEX,88c1a60d-c191-40d6-914e-f11ed504a83f,
INE280H01015,532841,SAHYADRI,,SAHYADRI,,Sahyadri Industries,,SAHYADRI,3d2ffbc4-86fe-4010-a67f-d4855de1084b,
INE281A01026,500083,CENTEXT,,CENTEXT,,Century Extrusions,,CENTEXT,b4c58415-392e-410a-9820-29108377ea95,
INE281B01032,512455,LLOYDSME,,LLOYDSME,,Lloyds Metals & Energy,,LLOYDSME,93848f43-86ce-4561-8019-40842206b26f,
INE281E01010,523373,MINID,,,,Mini Diamonds,,MINID,41e87fa6-225c-4115-af12-5de58cd1c43a,
INE281M01013,531402,LWSKNIT,,,,LWS Knitwear,,LWSKNIT,b679db59-48d6-4a4c-b8b1-9f26c6e19fcf,
INE281P01016,539544,ABHIINFRA,,,,Abhishek Infraventures,,ABHIINFRA,9d66be55-a3b8-42a1-8008-37591af81940,
INE282Y01016,540756,KAARYAFSL,,,,Kaarya Facilities & Services,,KAARYAFSL,2b976033-ea3e-4666-a5c1-338a4ab7b94a,
